,Mutualism,time_point,Strain,Mutualist,Experimental_plate,Control_OD,Culture_ID,OD_filtrate,OD_teststrain,growth_int,corrected_OD,OD_scaled,c_OD_scaled,ln_cOD,exp
112,facultative,2,1069,AdeOP,4,0.206,5D,14.22,1.002,507.2968157,0.001975175,0.34463192,0.186385461,-0.247708337,-0.219412421
113,facultative,2,1069,AdeOP,4,,6B,14.73,0.982,524.3017206,0.001872967,0.263136089,-0.082832695,-0.300841535,-0.259804942
114,facultative,2,1069,AdeOP,4,,6H,12.69,0.918,456.0248538,0.002013048,0.002349429,0.286144501,-0.228715348,-0.204445042
115,facultative,4,1069,AdeOP,4,,5D,15.3,1.024,543.2594943,0.001884919,0.434277334,-0.051352354,-0.29448049,-0.25508152
116,facultative,4,1069,AdeOP,4,,5G,13.44,0.862,481.2079028,0.001791326,-0.225838898,-0.29787973,-0.345409212,-0.2920694
117,facultative,4,1069,AdeOP,4,,6B,15.69,1.048,556.2025216,0.001884206,0.532072332,-0.053230334,-0.294858828,-0.255363298
118,facultative,4,1069,AdeOP,4,,6H,13.95,1.26,498.2773858,0.002528712,1.395928141,1.644418741,-0.000655257,-0.000655042
119,facultative,8,1069,AdeOP,4,,5D,16.02,1.038,567.1369837,0.001830246,0.491324416,-0.195362924,-0.323914955,-0.276688246
120,facultative,8,1069,AdeOP,4,,5G,11.31,0.586,409.4185294,0.001431298,-1.350481367,-1.246202734,-0.569783615,-0.434352177
121,facultative,8,1069,AdeOP,4,,6B,11.85,0.632,427.6991915,0.001477674,-1.163040955,-1.12404728,-0.53789611,-0.416024419
122,facultative,8,1069,AdeOP,4,,6H,11.37,0.606,411.452574,0.001472831,-1.268985536,-1.136804722,-0.54117894,-0.417938368
123,facultative,10,1069,AdeOP,4,,5D,15,0.902,533.2878863,0.001691394,-0.062847236,-0.561102084,-0.402812299,-0.331562446
124,facultative,10,1069,AdeOP,4,,5G,11.91,0.644,429.7268563,0.001498626,-1.114143457,-1.068858243,-0.523816651,-0.407744205
125,facultative,10,1069,AdeOP,4,,6B,11.58,0.666,418.5660557,0.001591147,-1.024498043,-0.825156864,-0.4639102,-0.37117998
126,facultative,10,1069,AdeOP,4,,6H,11.82,0.648,426.685099,0.001518684,-1.097844291,-1.016024808,-0.510521169,-0.399817299
