Mutualism,Mutualist,time_point,Experimental_plate,Control,Culture_ID,Strain,OD_teststrain,OD_filtrate,corrected_OD,OD_scaled,c_OD_scaled,ln_cOD,exp
obligate,LysOP,2,1,,39,1051,0.572,19.5,0.029333333,-0.893684386,-1.026994687,-0.357308976,-0.300443682
obligate,LysOP,2,1,,41,1051,0.424,19.35,0.021912145,-1.331133894,-1.339134121,-0.648992466,-0.477427979
obligate,LysOP,2,1,,47,1051,0.8,20.16,0.03968254,-0.219775684,-0.591701155,-0.055122217,-0.053630522
obligate,LysOP,4,1,,39,1051,NA,NA,NA,NA,NA,,
obligate,LysOP,4,1,,41,1051,0.472,18.21,0.025919824,-1.189258378,-1.170568828,-0.48102541,-0.38185079
obligate,LysOP,4,1,,47,1051,0.432,19.17,0.022535211,-1.307487974,-1.312927585,-0.62095447,-0.462568769
obligate,LysOP,0,1,,Ancestral,1051,0.828,19.02,0.043533123,-0.137014966,-0.42974342,,
obligate,LysOP,0,1,,Ancestral,1051,0.768,17.97,0.042737896,-0.314359361,-0.463191102,,
obligate,LysOP,2,1,,46,1039,0.522,16.47,0.031693989,-1.041471382,-0.927704158,-0.16018393,-0.148012931
obligate,LysOP,2,1,,47,1039,0.488,18,0.027111111,-1.141966539,-1.120462623,-0.316367326,-0.271208303
obligate,LysOP,2,1,,48,1039,0.466,17.94,0.025975474,-1.206992817,-1.168228177,-0.359158196,-0.30173612
obligate,LysOP,4,1,,46,1039,0.474,16.71,0.028366248,-1.183346898,-1.067670859,-0.271110994,-0.237468145
obligate,LysOP,4,1,,47,1039,0.476,17.4,0.027356322,-1.177435418,-1.11014892,-0.307363326,-0.264616632
obligate,LysOP,4,1,,48,1039,0.506,18.09,0.027971255,-1.08876322,-1.084284487,-0.285133604,-0.248086211
obligate,LysOP,0,1,,Ancestral,1039,0.636,17.43,0.036488812,-0.704517031,-0.72603115,,
obligate,LysOP,0,1,,Ancestral,1039,0.668,17.1,0.039064327,-0.609933353,-0.617703514,,
obligate,LysOP,8,1,,39,1051,1.006,19.11,0.052642595,0.38910674,-0.046593803,0.227492091,0.25544751
obligate,LysOP,8,1,,41,1051,0.654,17.43,0.037521515,-0.651313712,-0.682595104,-0.111119009,-0.10516775
obligate,LysOP,8,1,,47,1051,0.79,19.29,0.040953862,-0.249333083,-0.538228608,-0.023587383,-0.023311375
obligate,LysOP,8,1,,46,1039,0.712,15.66,0.045466156,-0.479880797,-0.348438957,0.200657247,0.222205785
