Mutualism,time_point,type,Combo,Experimental_plate,Culture_ID,OD,ln_diff,exp
facultative,2,EA,Plate 1,d,5D,8.54,0.144633273,0.155615697
facultative,2,AE,Plate 1,d,5D,7.28,-0.014996873,-0.01488498
facultative,2,EE,Plate 1,d,5D,8.08,0.089264138,0.093369418
facultative,0,AA,Plate 1,d,Ancestral,7.46,,
facultative,2,EA,Plate 1,d,5G,7.76,0.048854599,0.050067659
facultative,2,AE,Plate 1,d,5G,7.24,-0.020506529,-0.0202977
facultative,2,EE,Plate 1,d,5G,7.94,0.07178554,0.074424899
facultative,2,EE,Plate 1,d,5G,7.54,0.020094447,0.0202977
facultative,2,EA,Plate 1,d,6B,7.2,-0.026046709,-0.025710419
facultative,2,AE,Plate 1,d,6B,6.86,-0.074420293,-0.071718539
facultative,2,EE,Plate 1,d,6B,8.26,0.111296853,0.117726658
facultative,2,EE,Plate 1,d,6B,7.36,-0.004067802,-0.00405954
facultative,2,EA,Plate 1,d,6H,7.64,0.033269868,0.033829499
facultative,2,AE,Plate 1,d,6H,7.58,0.025385465,0.025710419
facultative,2,EE,Plate 1,d,6H,7.5,0.014775286,0.01488498
facultative,0,AA,Plate 1,d,Ancestral,7.32,,
facultative,15,EA,Plate 1,d,6B,6.94,-0.06282596,-0.060893099
facultative,15,AE,Plate 1,d,6B,7.22,-0.023272782,-0.02300406
facultative,15,EE,Plate 1,d,6B,8.02,0.081810687,0.085250338
facultative,15,EA,Plate 2,d,5B,5.74,-0.118170107,-0.111455108
facultative,15,AE,Plate 2,d,5B,5.44,-0.171850257,-0.157894737
facultative,15,EE,Plate 2,d,5B,5.62,-0.139297654,-0.13003096
facultative,0,AA,Plate 2,d,Ancestral,6.36,,
facultative,2,EA,Plate 2,d,5B,5.88,-0.094072556,-0.089783282
facultative,2,AE,Plate 2,d,5B,6.6,0.021440331,0.021671827
facultative,2,EE,Plate 2,d,5B,5.92,-0.087292869,-0.083591331
facultative,0,AA,Plate 2,d,Ancestral,6.56,,
facultative,2,EA,Plate 2,d,5H,7.28,0.119501544,0.126934985
facultative,2,AE,Plate 2,d,5H,7.68,0.172990229,0.188854489
facultative,2,EE,Plate 2,d,5H,8.2,0.238504836,0.269349845
facultative,2,EE,Plate 2,d,5H,8.32,0.253032937,0.287925697
facultative,2,EA,Plate 2,d,6C,7.02,0.0831339,0.086687307
facultative,2,AE,Plate 2,d,6C,6.16,-0.04755254,-0.046439628
facultative,2,EE,Plate 2,d,6C,7.16,0.102880663,0.108359133
facultative,2,EE,Plate 2,d,6C,6.88,0.062989334,0.06501548
facultative,2,EA,Plate 2,d,6F,7.14,0.100083459,0.105263158
facultative,2,AE,Plate 2,d,6F,6.16,-0.04755254,-0.046439628
facultative,2,EE,Plate 2,d,6F,7.06,0.088815734,0.092879257
facultative,2,EE,Plate 2,d,6F,7.36,0.130430615,0.139318885
facultative,4,EA,Plate 1,e,5D,7.08,-0.052281507,-0.050938338
facultative,4,AE,Plate 1,e,5D,6.56,-0.128564811,-0.120643432
facultative,4,EE,Plate 1,e,5D,7.02,-0.060792196,-0.058981233
facultative,0,AA,Plate 1,e,Ancestral,7.42,,
facultative,4,EA,Plate 1,e,5G,7.68,0.029064133,0.029490617
facultative,4,AE,Plate 1,e,5G,6.42,-0.150137297,-0.139410188
facultative,4,EE,Plate 1,e,5G,6.56,-0.128564811,-0.120643432
