,Mutualism,time_point,Strain,Mutualist,Culture_ID,Experimental_plate,OD,ln_diff,exp,is_anc,ODc_anc,ODcc,Combo_time
1,facultative,4,1069,AdeOP,6H,a,0.865,-0.420761773,-0.34345351,0,1.3175,-0.34345351,4 - 6H
2,facultative,2,1051,LysOP,5D,a,1.855,-0.048661803,-0.047496791,0,1.9475,-0.047496791,2 - 5D
3,facultative,2,1051,LysOP,6B,a,1.82,-0.067709998,-0.065468549,0,1.9475,-0.065468549,2 - 6B
4,facultative,2,1039,LysOP,5H,a,1.605,-0.023095715,-0.02283105,0,1.6425,-0.02283105,2 - 5H
5,facultative,2,1039,LysOP,6C,a,1.355,-0.192418017,-0.175038052,0,1.6425,-0.175038052,2 - 6C
6,facultative,4,1039,LysOP,5H,a,1.085,-0.414639484,-0.339421613,0,1.6425,-0.339421613,4 - 5H
7,facultative,2,1063,AdeOP,5B,a,0.68,-0.703206708,-0.50500455,0,1.37375,-0.50500455,2 - 5B
8,facultative,2,1063,AdeOP,5H,a,1.405,0.022493076,0.022747953,0,1.37375,0.022747953,2 - 5H
9,facultative,2,1063,AdeOP,6C,a,1.315,-0.043707561,-0.042766151,0,1.37375,-0.042766151,2 - 6C
10,facultative,2,1063,AdeOP,6F,a,0.985,-0.332657865,-0.282984531,0,1.37375,-0.282984531,2 - 6F
11,facultative,4,1063,AdeOP,5B,a,0.925,-0.395505768,-0.326660601,0,1.37375,-0.326660601,4 - 5B
12,facultative,4,1063,AdeOP,5H,a,1.415,0.029585304,0.030027298,0,1.37375,0.030027298,4 - 5H
13,facultative,4,1063,AdeOP,6C,a,1.345,-0.021150214,-0.020928116,0,1.37375,-0.020928116,4 - 6C
14,facultative,0,1069,AdeOP,Ancestral,a,1.27,NA,NA,1,1.3175,-0.036053131,0 - Ancestral
15,facultative,0,1051,LysOP,Ancestral,a,1.925,NA,NA,1,1.9475,-0.011553273,0 - Ancestral
16,facultative,0,1063,AdeOP,Ancestral,a,1.34,NA,NA,1,1.37375,-0.024567789,0 - Ancestral
17,facultative,0,1039,LysOP,Ancestral,a,1.595,NA,NA,1,1.6425,-0.02891933,0 - Ancestral
18,facultative,0,1069,AdeOP,Ancestral,a,1.31,NA,NA,1,1.3175,-0.0056926,0 - Ancestral
19,facultative,0,1051,LysOP,Ancestral,a,2.015,NA,NA,1,1.9475,0.03465982,0 - Ancestral
20,facultative,0,1063,AdeOP,Ancestral,a,1.445,NA,NA,1,1.37375,0.051865332,0 - Ancestral
21,facultative,0,1039,LysOP,Ancestral,a,1.58,NA,NA,1,1.6425,-0.03805175,0 - Ancestral
22,facultative,4,1069,AdeOP,6H,a,0.975,-0.691864307,-0.499358151,0,1.3175,-0.259962049,4 - 6H
23,facultative,2,1051,LysOP,5D,a,1.95,0.392093371,0.480075901,0,1.9475,0.001283697,2 - 5D
24,facultative,2,1051,LysOP,6B,a,1.985,0.019072415,0.019255456,0,1.9475,0.019255456,2 - 6B
25,facultative,2,1039,LysOP,5H,a,1.6,-0.026215842,-0.02587519,0,1.6425,-0.02587519,2 - 5H
26,facultative,2,1039,LysOP,6C,a,1.455,-0.121213571,-0.114155251,0,1.6425,-0.114155251,2 - 6C
27,facultative,4,1039,LysOP,5H,a,1.195,-0.318073286,-0.272450533,0,1.6425,-0.272450533,4 - 5H
28,facultative,2,1063,AdeOP,5B,a,0.815,-0.522111392,-0.406733394,0,1.37375,-0.406733394,2 - 5B
29,facultative,2,1063,AdeOP,5H,a,1.395,0.015350189,0.015468608,0,1.37375,0.015468608,2 - 5H
30,facultative,2,1063,AdeOP,6C,a,1.34,-0.024874613,-0.024567789,0,1.37375,-0.024567789,2 - 6C
31,facultative,2,1063,AdeOP,6F,a,0.97,-0.348003434,-0.293903549,0,1.37375,-0.293903549,2 - 6F
32,facultative,4,1063,AdeOP,5B,a,0.92,-0.400925836,-0.330300273,0,1.37375,-0.330300273,4 - 5B
33,facultative,4,1063,AdeOP,5H,a,1.295,-0.059033532,-0.057324841,0,1.37375,-0.057324841,4 - 5H
34,facultative,4,1063,AdeOP,6C,a,1.36,-0.010059527,-0.010009099,0,1.37375,-0.010009099,4 - 6C
35,facultative,0,1069,AdeOP,Ancestral,a,1.36,NA,0,1,1.3175,0.032258065,0 - Ancestral
